candidate,control,mode,metric,score,paired_edits,delta,ci_low,ci_high,status
C_FACT,C_NO_H,FORCED_ON,I_Generality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,FORCED_ON,I_Generality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,FORCED_ON,I_Generality,literal,164,-0.012195121951219513,-0.036585365853658534,0.012195121951219513,AVAILABLE
C_FACT,C_EXTRA_QA,FORCED_ON,I_Generality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,FORCED_ON,I_Generality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,FORCED_ON,I_Generality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,FORCED_ON,I_Generality,target_or_source_semantic,164,-0.006097560975609756,-0.024390243902439025,0.012195121951219513,AVAILABLE
C_FACT,C_EXTRA_QA,FORCED_ON,I_Generality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,BE_ROUTE_R0,I_Generality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,BE_ROUTE_R0,I_Generality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,BE_ROUTE_R0,I_Generality,literal,164,-0.006097560975609756,-0.024390243902439025,0.012195121951219513,AVAILABLE
C_FACT,C_EXTRA_QA,BE_ROUTE_R0,I_Generality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,BE_ROUTE_R0,I_Generality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,BE_ROUTE_R0,I_Generality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,BE_ROUTE_R0,I_Generality,target_or_source_semantic,164,0.0,-0.018292682926829267,0.018292682926829267,AVAILABLE
C_FACT,C_EXTRA_QA,BE_ROUTE_R0,I_Generality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,RC_FIXED_OLD16,I_Generality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,RC_FIXED_OLD16,I_Generality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,RC_FIXED_OLD16,I_Generality,literal,164,0.0,0.0,0.0,AVAILABLE
C_FACT,C_EXTRA_QA,RC_FIXED_OLD16,I_Generality,literal,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,C_NO_H,RC_FIXED_OLD16,I_Generality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_FACT,BE,RC_FIXED_OLD16,I_Generality,target_or_source_semantic,0,,,,UNSUPPORTED_COMMON_SUPPORT
C_NO_H,BE,RC_FIXED_OLD16,I_Generality,target_or_source_semantic,164,0.0,0.0,0.0,AVAILABLE
