arm,N,panel,metric,numerator,denominator,scored,value,coverage,unit,Wilson95,source_macro,source_count,leave_one_source_out
FACT_FIXED_L31_DOWN,11,native,accuracy,11,11,11,1.0,1.0,QA,"[0.7411670330319684, 1]",1,11,"[1, 1]"
FACT_FIXED_L31_DOWN,11,native,Fix,11,11,11,1.0,1.0,QA,"[0.7411670330319684, 1]",1,11,"[1, 1]"
FACT_FIXED_L31_DOWN,11,insertion,accuracy,11,11,11,1.0,1.0,QA,"[0.7411670330319684, 1]",1,11,"[1, 1]"
FACT_FIXED_L31_DOWN,11,old_H_eval,accuracy,4,6,6,0.6666666666666666,1.0,QA,"[0.299993315138392, 0.9032285888942195]",0.6666666666666666,2,"[0.6666666666666666, 0.6666666666666666]"
FACT_FIXED_L31_DOWN,11,old_H_eval,Retention,3,4,4,0.75,1.0,QA,"[0.30064184258240184, 0.9544127391902995]",0.75,2,"[0.5, 1]"
FACT_FIXED_L31_DOWN,11,old_H_eval,Fix,1,2,2,0.5,1.0,QA,"[0.09453120573423074, 0.9054687942657693]",0.5,2,"[0, 1]"
FACT_FIXED_L31_DOWN,11,old_U_eval,accuracy,4,9,9,0.4444444444444444,1.0,QA,"[0.18877852109766452, 0.733348706504507]",0.5,4,"[0.3333333333333333, 0.6666666666666666]"
FACT_FIXED_L31_DOWN,11,old_U_eval,fixed_panel_Retention,4,8,8,0.5,1.0,QA,"[0.21521606221387757, 0.7847839377861224]",0.5,4,"[0.3333333333333333, 0.6666666666666666]"
FACT_FIXED_L31_DOWN,11,old_U_eval,Retention,4,8,8,0.5,1.0,QA,"[0.21521606221387757, 0.7847839377861224]",0.5,4,"[0.3333333333333333, 0.6666666666666666]"
FACT_FIXED_L31_DOWN,11,old_U_eval,Fix,0,1,1,0.0,1.0,QA,"[0, 0.7934506856227626]",0,1,
FACT_FIXED_L31_DOWN,11,old_native_text_extension,accuracy,11,11,11,1.0,1.0,QA,"[0.7411670330319684, 1]",1,11,"[1, 1]"
FACT_FIXED_L31_DOWN,11,new_H_eval,accuracy,0,0,0,,,QA,,,0,
FACT_FIXED_L31_DOWN,11,new_H_eval,Retention,0,0,0,,,QA,,,0,
FACT_FIXED_L31_DOWN,11,new_H_eval,Fix,0,0,0,,,QA,,,0,
FACT_FIXED_L31_DOWN,11,new_U_eval,accuracy,0,0,0,,,QA,,,0,
FACT_FIXED_L31_DOWN,11,new_U_eval,fixed_panel_Retention,0,0,0,,,QA,,,0,
FACT_FIXED_L31_DOWN,11,new_U_eval,Retention,0,0,0,,,QA,,,0,
FACT_FIXED_L31_DOWN,11,new_U_eval,Fix,0,0,0,,,QA,,,0,
FACT_FIXED_L31_DOWN,11,positive_positive_image,accuracy,0,0,0,,,QA,,,0,
FACT_FIXED_L31_DOWN,11,old_anchors,PairCorrect,8.5,11,11,0.7727272727272727,1.0,edit_macro_not_independent_H,,0.7727272727272727,11,"[0.75, 0.85]"
FACT_FIXED_L31_DOWN,11,activation_diagnostic,accuracy,30,37,37,0.8108108108108109,1.0,QA,"[0.6579530307016159, 0.9052002126968799]",0.919047619047619,15,"[0.9132653061224489, 0.9642857142857143]"
