cohort,track,prefix,method,mode,role,stratum,strict_role,diagnostic_step,is_diagnostic,average,inputs,edits,source_images,patients,semantic,semantic_numerator,semantic_denominator,semantic_edit_support,v4_primary,v4_primary_numerator,v4_primary_denominator,v4_primary_edit_support,original_reference_correct,original_reference_correct_numerator,original_reference_correct_denominator,original_reference_correct_edit_support,base_correct,base_correct_numerator,base_correct_denominator,base_correct_edit_support,base_correct_damage,base_correct_damage_numerator,base_correct_damage_denominator,base_correct_damage_edit_support,base_correct_preserved,base_correct_preserved_numerator,base_correct_preserved_denominator,base_correct_preserved_edit_support,base_wrong_became_correct,base_wrong_became_correct_numerator,base_wrong_became_correct_denominator,base_wrong_became_correct_edit_support,base_wrong_changed,base_wrong_changed_numerator,base_wrong_changed_denominator,base_wrong_changed_edit_support,on,on_numerator,on_denominator,on_edit_support,joint_on_correct,joint_on_correct_numerator,joint_on_correct_denominator,joint_on_correct_edit_support,fpr,fpr_numerator,fpr_denominator,fpr_edit_support,misfire_damage,misfire_damage_numerator,misfire_damage_denominator,misfire_damage_edit_support,token_parity,token_parity_numerator,token_parity_denominator,token_parity_edit_support,kl,kl_numerator,kl_denominator,kl_edit_support,own_forced_correct,own_forced_correct_numerator,own_forced_correct_denominator,own_forced_correct_edit_support,rejection,rejection_numerator,rejection_denominator,rejection_edit_support,wrong_writer,wrong_writer_numerator,wrong_writer_denominator,wrong_writer_edit_support,writer_error,writer_error_numerator,writer_error_denominator,writer_error_edit_support,equivalent_correct,equivalent_correct_numerator,equivalent_correct_denominator,equivalent_correct_edit_support,other_expert_correct,other_expert_correct_numerator,other_expert_correct_denominator,other_expert_correct_edit_support,selected_writer_error,selected_writer_error_numerator,selected_writer_error_denominator,selected_writer_error_edit_support,ended_with_eos,ended_with_eos_numerator,ended_with_eos_denominator,ended_with_eos_edit_support,cap_hit,cap_hit_numerator,cap_hit_denominator,cap_hit_edit_support,wrong_given_on_base_correct,wrong_given_on_base_correct_numerator,wrong_given_on_base_correct_denominator,wrong_given_on_base_correct_edit_support,wrong_given_on_strict_base,wrong_given_on_strict_base_numerator,wrong_given_on_strict_base_denominator,wrong_given_on_strict_base_edit_support,positive_wrong_rejection,positive_wrong_rejection_numerator,positive_wrong_rejection_denominator,positive_wrong_rejection_edit_support,positive_wrong_selection,positive_wrong_selection_numerator,positive_wrong_selection_denominator,positive_wrong_selection_edit_support,positive_owner_error,positive_owner_error_numerator,positive_owner_error_denominator,positive_owner_error_edit_support,correct_via_base_return,correct_via_base_return_numerator,correct_via_base_return_denominator,correct_via_base_return_edit_support,correct_via_owner_writer,correct_via_owner_writer_numerator,correct_via_owner_writer_denominator,correct_via_owner_writer_edit_support,correct_via_other_writer,correct_via_other_writer_numerator,correct_via_other_writer_denominator,correct_via_other_writer_edit_support,row_kind,provenance,replay_status,on_count,returned_base,avoided_errors,lost_corrections,net_correct_change
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,BASE,BASE,fit,H,STRICT_BASE,320,False,macro,27,15,9,UNKNOWN,0.9777777777777777,26.0,27,15,,,0,0,0.9777777777777777,26.0,27,15,0.9777777777777777,26.0,27,15,0.0,0.0,26,15,1.0,26.0,26,15,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,27,15,0.0,0.0,27,15,0.0,0.0,27,15,0.0,0.0,26,15,1.0,27.0,27,15,,,0,0,0.9555555555555556,25.0,27,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,frozen output derivation,PASSED,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,BASE,BASE,fit,H,STRICT_BASE,320,False,micro,27,15,9,UNKNOWN,0.9629629629629629,26.0,27,15,,,0,0,0.9629629629629629,26.0,27,15,0.9629629629629629,26.0,27,15,0.0,0.0,26,15,1.0,26.0,26,15,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,27,15,0.0,0.0,27,15,0.0,0.0,27,15,0.0,0.0,26,15,1.0,27.0,27,15,,,0,0,0.9259259259259259,25.0,27,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,frozen output derivation,PASSED,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,BASE,BASE,fit,U,STRICT_BASE,320,False,macro,204,15,43,UNKNOWN,0.5835164835164836,119.0,204,15,,,0,0,0.5835164835164836,119.0,204,15,0.5835164835164836,119.0,204,15,0.0,0.0,119,15,1.0,119.0,119,15,0.0,0.0,85,15,0.0,0.0,85,15,0.0,0.0,204,15,0.0,0.0,204,15,0.0,0.0,204,15,0.0,0.0,119,15,1.0,204.0,204,15,,,0,0,0.49743589743589745,101.0,204,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,frozen output derivation,PASSED,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,BASE,BASE,fit,U,STRICT_BASE,320,False,micro,204,15,43,UNKNOWN,0.5833333333333334,119.0,204,15,,,0,0,0.5833333333333334,119.0,204,15,0.5833333333333334,119.0,204,15,0.0,0.0,119,15,1.0,119.0,119,15,0.0,0.0,85,15,0.0,0.0,85,15,0.0,0.0,204,15,0.0,0.0,204,15,0.0,0.0,204,15,0.0,0.0,119,15,1.0,204.0,204,15,,,0,0,0.4950980392156863,101.0,204,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,frozen output derivation,PASSED,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,BASE,BASE,fit,cross_family_confirmation,EDIT_TARGET,320,False,macro,60,15,15,UNKNOWN,0.3,18.0,60,15,,,0,0,0.3,18.0,60,15,0.3,18.0,60,15,,,0,0,,,0,0,0.0,0.0,42,15,0.0,0.0,42,15,0.0,0.0,60,15,0.0,0.0,60,15,,,0,0,,,0,0,1.0,60.0,60,15,,,0,0,1.0,60.0,60,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,60.0,60,15,,,0,0,,,0,0,,,0,0,0.7,42.0,60,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,frozen output derivation,PASSED,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,BASE,BASE,fit,cross_family_confirmation,EDIT_TARGET,320,False,micro,60,15,15,UNKNOWN,0.3,18.0,60,15,,,0,0,0.3,18.0,60,15,0.3,18.0,60,15,,,0,0,,,0,0,0.0,0.0,42,15,0.0,0.0,42,15,0.0,0.0,60,15,0.0,0.0,60,15,,,0,0,,,0,0,1.0,60.0,60,15,,,0,0,1.0,60.0,60,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,60.0,60,15,,,0,0,,,0,0,,,0,0,0.7,42.0,60,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,frozen output derivation,PASSED,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,BASE,BASE,native,T0,EDIT_TARGET,320,False,macro,15,15,15,UNKNOWN,0.0,0.0,15,15,0.0,0.0,15,15,0.0,0.0,15,15,0.0,0.0,15,15,,,0,0,,,0,0,0.0,0.0,15,15,0.0,0.0,15,15,0.0,0.0,15,15,0.0,0.0,15,15,,,0,0,,,0,0,1.0,15.0,15,15,,,0,0,1.0,15.0,15,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,15.0,15,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,frozen output derivation,PASSED,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,BASE,BASE,native,T0,EDIT_TARGET,320,False,micro,15,15,15,UNKNOWN,0.0,0.0,15,15,0.0,0.0,15,15,0.0,0.0,15,15,0.0,0.0,15,15,,,0,0,,,0,0,0.0,0.0,15,15,0.0,0.0,15,15,0.0,0.0,15,15,0.0,0.0,15,15,,,0,0,,,0,0,1.0,15.0,15,15,,,0,0,1.0,15.0,15,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,15.0,15,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,frozen output derivation,PASSED,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,BE,BE_ROUTE_R0,challenge,same_answer_context_not_conflict,STRICT_BASE,320,False,macro,27,14,6,UNKNOWN,1.0,27.0,27,14,,,0,0,1.0,27.0,27,14,0.5833333333333334,15.0,27,14,0.0,0.0,15,10,1.0,15.0,15,10,1.0,12.0,12,8,1.0,12.0,12,8,0.9642857142857143,26.0,27,14,0.9642857142857143,26.0,27,14,0.9642857142857143,26.0,27,14,0.0,0.0,15,10,0.03571428571428571,1.0,27,14,15.93191253344218,420.7262659072876,27,14,1.0,27.0,27,14,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,26.0,26,14,,,0,0,0.0,0.0,14,9,0.0,0.0,26,14,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,frozen output derivation,PASSED,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,BE,BE_ROUTE_R0,challenge,same_answer_context_not_conflict,STRICT_BASE,320,False,micro,27,14,6,UNKNOWN,1.0,27.0,27,14,,,0,0,1.0,27.0,27,14,0.5555555555555556,15.0,27,14,0.0,0.0,15,10,1.0,15.0,15,10,1.0,12.0,12,8,1.0,12.0,12,8,0.9629629629629629,26.0,27,14,0.9629629629629629,26.0,27,14,0.9629629629629629,26.0,27,14,0.0,0.0,15,10,0.037037037037037035,1.0,27,14,15.582454292862504,420.7262659072876,27,14,1.0,27.0,27,14,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,26.0,26,14,,,0,0,0.0,0.0,14,9,0.0,0.0,26,14,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,frozen output derivation,PASSED,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,BE,BE_ROUTE_R0,evaluation,H,STRICT_BASE,320,False,macro,19,14,7,UNKNOWN,0.03571428571428571,1.0,19,14,,,0,0,0.03571428571428571,1.0,19,14,0.8214285714285714,15.0,19,14,0.9230769230769231,14.0,15,13,0.07692307692307693,1.0,15,13,0.0,0.0,4,4,1.0,4.0,4,4,0.9642857142857143,18.0,19,14,0.0,0.0,19,14,0.9642857142857143,18.0,19,14,0.9230769230769231,14.0,15,13,0.03571428571428571,1.0,19,14,17.587116275514877,316.12415885925293,19,14,0.0,0.0,19,14,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,18.0,18,14,,,0,0,1.0,14.0,14,12,1.0,18.0,18,14,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,frozen output derivation,PASSED,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,BE,BE_ROUTE_R0,evaluation,H,STRICT_BASE,320,False,micro,19,14,7,UNKNOWN,0.05263157894736842,1.0,19,14,,,0,0,0.05263157894736842,1.0,19,14,0.7894736842105263,15.0,19,14,0.9333333333333333,14.0,15,13,0.06666666666666667,1.0,15,13,0.0,0.0,4,4,1.0,4.0,4,4,0.9473684210526315,18.0,19,14,0.0,0.0,19,14,0.9473684210526315,18.0,19,14,0.9333333333333333,14.0,15,13,0.05263157894736842,1.0,19,14,16.638113624171208,316.12415885925293,19,14,0.0,0.0,19,14,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,18.0,18,14,,,0,0,1.0,14.0,14,12,1.0,18.0,18,14,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,frozen output derivation,PASSED,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,BE,BE_ROUTE_R0,evaluation,U,STRICT_BASE,320,False,macro,190,15,41,UNKNOWN,0.24572649572649574,48.0,190,15,,,0,0,0.24572649572649574,48.0,190,15,0.645909645909646,123.0,190,15,0.6451827801827802,78.0,123,15,0.3548172198172198,45.0,123,15,0.05238095238095238,3.0,67,15,0.7441269841269841,50.0,67,15,0.6913308913308913,130.0,190,15,0.025641025641025644,5.0,190,15,0.6913308913308913,130.0,190,15,0.6451827801827802,78.0,123,15,0.3086691086691087,60.0,190,15,10.456148639354078,1979.2076230049133,190,15,0.05641025641025641,11.0,190,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,130.0,130,15,,,0,0,0.9678571428571429,78.0,80,14,0.962929292929293,125.0,130,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,frozen output derivation,PASSED,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,BE,BE_ROUTE_R0,evaluation,U,STRICT_BASE,320,False,micro,190,15,41,UNKNOWN,0.25263157894736843,48.0,190,15,,,0,0,0.25263157894736843,48.0,190,15,0.6473684210526316,123.0,190,15,0.6341463414634146,78.0,123,15,0.36585365853658536,45.0,123,15,0.04477611940298507,3.0,67,15,0.746268656716418,50.0,67,15,0.6842105263157895,130.0,190,15,0.02631578947368421,5.0,190,15,0.6842105263157895,130.0,190,15,0.6341463414634146,78.0,123,15,0.3157894736842105,60.0,190,15,10.416882226341649,1979.2076230049133,190,15,0.05789473684210526,11.0,190,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,130.0,130,15,,,0,0,0.975,78.0,80,14,0.9615384615384616,125.0,130,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,frozen output derivation,PASSED,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,BE,BE_ROUTE_R0,evaluation,cross_family_confirmation,EDIT_TARGET,320,False,macro,30,15,15,UNKNOWN,1.0,30.0,30,15,,,0,0,1.0,30.0,30,15,0.5333333333333333,16.0,30,15,,,0,0,,,0,0,1.0,14.0,14,9,1.0,14.0,14,9,1.0,30.0,30,15,1.0,30.0,30,15,,,0,0,,,0,0,0.0,0.0,30,15,,,0,0,1.0,30.0,30,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,30.0,30,15,,,0,0,,,0,0,,,0,0,0.0,0.0,30,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,frozen output derivation,PASSED,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,BE,BE_ROUTE_R0,evaluation,cross_family_confirmation,EDIT_TARGET,320,False,micro,30,15,15,UNKNOWN,1.0,30.0,30,15,,,0,0,1.0,30.0,30,15,0.5333333333333333,16.0,30,15,,,0,0,,,0,0,1.0,14.0,14,9,1.0,14.0,14,9,1.0,30.0,30,15,1.0,30.0,30,15,,,0,0,,,0,0,0.0,0.0,30,15,,,0,0,1.0,30.0,30,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,30.0,30,15,,,0,0,,,0,0,,,0,0,0.0,0.0,30,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,frozen output derivation,PASSED,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,BE,BE_ROUTE_R0,evaluation,source_style_confirmation,EDIT_TARGET,320,False,macro,30,15,15,UNKNOWN,1.0,30.0,30,15,,,0,0,1.0,30.0,30,15,0.6333333333333333,19.0,30,15,,,0,0,,,0,0,1.0,11.0,11,6,1.0,11.0,11,6,1.0,30.0,30,15,1.0,30.0,30,15,,,0,0,,,0,0,0.0,0.0,30,15,,,0,0,1.0,30.0,30,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,30.0,30,15,,,0,0,,,0,0,,,0,0,0.0,0.0,30,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,frozen output derivation,PASSED,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,BE,BE_ROUTE_R0,evaluation,source_style_confirmation,EDIT_TARGET,320,False,micro,30,15,15,UNKNOWN,1.0,30.0,30,15,,,0,0,1.0,30.0,30,15,0.6333333333333333,19.0,30,15,,,0,0,,,0,0,1.0,11.0,11,6,1.0,11.0,11,6,1.0,30.0,30,15,1.0,30.0,30,15,,,0,0,,,0,0,0.0,0.0,30,15,,,0,0,1.0,30.0,30,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,30.0,30,15,,,0,0,,,0,0,,,0,0,0.0,0.0,30,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,frozen output derivation,PASSED,,,,,
