cohort,track,prefix,role,stratum,strict_role,candidate,mode,control,control_mode,metric,delta,ci_low,ci_high,paired_inputs,paired_edits,source_images,patients,image_cluster_ci_low,image_cluster_ci_high,leave_one_image_out_min,leave_one_image_out_max,bootstrap_seed,bootstrap_draws
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,A,0,native,native_source_edit,EDIT_TARGET,W0,RC,W0,R0,semantic,0.0,0.0,0.0,32,32,32,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,A,0,native,native_source_edit,EDIT_TARGET,W0,RC,W0,R0,base_wrong_became_correct,0.0,0.0,0.0,32,32,32,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,A,0,native,native_source_edit,EDIT_TARGET,W0,RC,W0,R0,rejection,0.0,0.0,0.0,32,32,32,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,A,0,native,native_source_edit,EDIT_TARGET,W1,RC,W1,R0,semantic,0.0,,,1,1,1,UNKNOWN,,,,,20260908,10000
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,A,0,native,native_source_edit,EDIT_TARGET,W1,RC,W1,R0,base_wrong_became_correct,0.0,,,1,1,1,UNKNOWN,,,,,20260908,10000
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,A,0,native,native_source_edit,EDIT_TARGET,W1,RC,W1,R0,rejection,0.0,,,1,1,1,UNKNOWN,,,,,20260908,10000
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,A,0,native,native_source_edit,EDIT_TARGET,BE,RC,BE,R0,semantic,0.0,0.0,0.0,32,32,32,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,A,0,native,native_source_edit,EDIT_TARGET,BE,RC,BE,R0,base_wrong_became_correct,0.0,0.0,0.0,32,32,32,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,A,0,native,native_source_edit,EDIT_TARGET,BE,RC,BE,R0,rejection,0.0,0.0,0.0,32,32,32,UNKNOWN,0.0,0.0,0.0,0.0,20260908,10000
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,A,0,native,native_source_edit,EDIT_TARGET,W1,RC,W0,RC,semantic,0.0,,,1,1,1,UNKNOWN,,,,,20260908,10000
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,A,0,native,native_source_edit,EDIT_TARGET,W1,RC,W0,RC,base_wrong_became_correct,0.0,,,1,1,1,UNKNOWN,,,,,20260908,10000
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,A,0,native,native_source_edit,EDIT_TARGET,W1,RC,W0,RC,rejection,0.0,,,1,1,1,UNKNOWN,,,,,20260908,10000
