edit,role,stratum,input_rows,unique_image_question_inputs,unique_eqkeys,source_images,edit_source_groups,edit_eqkeys,edits,base_correct_rows,base_correct_unique_image_question_inputs,base_correct_source_images,base_correct_edit_source_groups,base_correct_edits
1,calibration,H,16,16,16,4,4,16,1,0,0,0,0,0
2,calibration,H,16,16,16,4,4,16,1,0,0,0,0,0
3,calibration,H,16,16,16,4,4,16,1,4,4,1,1,1
7,calibration,H,8,8,8,2,2,8,1,0,0,0,0,0
13,calibration,H,8,8,8,2,2,8,1,0,0,0,0,0
15,calibration,H,16,16,16,4,4,16,1,2,2,1,1,1
16,calibration,H,16,16,16,4,4,16,1,6,6,2,2,1
1,calibration,U,16,16,16,16,16,16,1,13,13,13,13,1
2,calibration,U,16,16,16,16,16,16,1,5,5,5,5,1
3,calibration,U,16,16,16,16,16,16,1,3,3,3,3,1
7,calibration,U,18,18,18,18,18,18,1,9,9,9,9,1
13,calibration,U,18,18,18,18,18,18,1,5,5,5,5,1
15,calibration,U,16,16,16,16,16,16,1,6,6,6,6,1
16,calibration,U,16,16,16,16,16,16,1,3,3,3,3,1
1,calibration,positive,4,4,4,1,1,4,1,2,2,1,1,1
2,calibration,positive,4,4,4,1,1,4,1,0,0,0,0,0
3,calibration,positive,4,4,4,1,1,4,1,0,0,0,0,0
7,calibration,positive,4,4,4,1,1,4,1,0,0,0,0,0
13,calibration,positive,4,4,4,1,1,4,1,0,0,0,0,0
15,calibration,positive,4,4,4,1,1,4,1,0,0,0,0,0
16,calibration,positive,4,4,4,1,1,4,1,0,0,0,0,0
1,challenge,same_image_other_fact_challenge,12,12,12,1,1,12,1,3,3,1,1,1
2,challenge,same_image_other_fact_challenge,2,2,2,1,1,2,1,0,0,0,0,0
7,challenge,same_image_other_fact_challenge,12,12,12,1,1,12,1,6,6,1,1,1
1,evaluation,H,20,20,20,5,5,20,1,4,4,2,2,1
2,evaluation,H,20,20,20,5,5,20,1,0,0,0,0,0
3,evaluation,H,20,20,20,5,5,20,1,0,0,0,0,0
7,evaluation,H,8,8,8,2,2,8,1,0,0,0,0,0
13,evaluation,H,4,4,4,1,1,4,1,0,0,0,0,0
15,evaluation,H,20,20,20,5,5,20,1,0,0,0,0,0
16,evaluation,H,20,20,20,5,5,20,1,0,0,0,0,0
1,evaluation,U,15,15,15,15,15,15,1,12,12,12,12,1
2,evaluation,U,15,15,15,15,15,15,1,7,7,7,7,1
3,evaluation,U,15,15,15,15,15,15,1,4,4,4,4,1
7,evaluation,U,18,18,18,18,18,18,1,8,8,8,8,1
13,evaluation,U,19,19,19,19,19,19,1,4,4,4,4,1
15,evaluation,U,15,15,15,15,15,15,1,6,6,6,6,1
16,evaluation,U,15,15,15,15,15,15,1,3,3,3,3,1
1,evaluation,positive,4,4,4,1,1,4,1,0,0,0,0,0
2,evaluation,positive,4,4,4,1,1,4,1,0,0,0,0,0
3,evaluation,positive,4,4,4,1,1,4,1,0,0,0,0,0
7,evaluation,positive,4,4,4,1,1,4,1,0,0,0,0,0
13,evaluation,positive,4,4,4,1,1,4,1,0,0,0,0,0
15,evaluation,positive,4,4,4,1,1,4,1,0,0,0,0,0
16,evaluation,positive,4,4,4,1,1,4,1,0,0,0,0,0
1,fit,H,20,20,20,4,4,20,1,7,7,2,2,1
2,fit,H,20,20,20,4,4,20,1,0,0,0,0,0
3,fit,H,20,20,20,4,4,20,1,0,0,0,0,0
7,fit,H,10,10,10,2,2,10,1,4,4,1,1,1
13,fit,H,10,10,10,2,2,10,1,0,0,0,0,0
15,fit,H,20,20,20,4,4,20,1,1,1,1,1,1
16,fit,H,20,20,20,4,4,20,1,1,1,1,1,1
1,fit,U,16,16,16,16,16,16,1,14,14,14,14,1
2,fit,U,16,16,16,16,16,16,1,5,5,5,5,1
3,fit,U,16,16,16,16,16,16,1,2,2,2,2,1
7,fit,U,18,18,18,18,18,18,1,8,8,8,8,1
13,fit,U,18,18,18,18,18,18,1,3,3,3,3,1
15,fit,U,16,16,16,16,16,16,1,3,3,3,3,1
16,fit,U,16,16,16,16,16,16,1,7,7,7,7,1
1,fit,positive,5,5,5,1,2,5,1,0,0,0,0,0
2,fit,positive,5,5,5,1,1,5,1,0,0,0,0,0
3,fit,positive,5,5,5,1,1,5,1,0,0,0,0,0
7,fit,positive,5,5,5,1,1,5,1,0,0,0,0,0
13,fit,positive,5,5,5,1,1,5,1,0,0,0,0,0
15,fit,positive,5,5,5,1,1,5,1,0,0,0,0,0
16,fit,positive,5,5,5,1,1,5,1,0,0,0,0,0
1,fit,scope_fit_positive_not_used_for_positive_CE,4,4,4,1,1,4,1,0,0,0,0,0
1,formal_development,T1G,4,4,4,4,4,4,1,0,0,0,0,0
2,formal_development,T1G,4,4,4,4,4,4,1,0,0,0,0,0
3,formal_development,T1G,4,4,4,4,4,4,1,0,0,0,0,0
7,formal_development,T1G,4,4,4,4,4,4,1,0,0,0,0,0
13,formal_development,T1G,4,4,4,4,4,4,1,0,0,0,0,0
15,formal_development,T1G,2,2,2,2,2,2,1,0,0,0,0,0
16,formal_development,T1G,4,4,4,4,4,4,1,0,0,0,0,0
3,formal_development,T1L,5,5,5,5,5,5,1,3,3,3,3,1
15,formal_development,T1L,5,5,5,5,5,5,1,3,3,3,3,1
16,formal_development,T1L,5,5,5,5,5,5,1,3,3,3,3,1
1,formal_development,T2G,3,3,3,1,1,3,1,0,0,0,0,0
2,formal_development,T2G,4,4,4,1,1,4,1,0,0,0,0,0
3,formal_development,T2G,3,3,3,1,1,3,1,0,0,0,0,0
7,formal_development,T2G,4,4,4,1,1,4,1,0,0,0,0,0
13,formal_development,T2G,4,4,4,1,1,4,1,0,0,0,0,0
15,formal_development,T2G,4,4,4,1,1,4,1,0,0,0,0,0
16,formal_development,T2G,4,4,4,1,1,4,1,0,0,0,0,0
1,native,positive,1,1,1,1,1,1,1,0,0,0,0,0
2,native,positive,1,1,1,1,1,1,1,0,0,0,0,0
3,native,positive,1,1,1,1,1,1,1,0,0,0,0,0
7,native,positive,1,1,1,1,1,1,1,0,0,0,0,0
13,native,positive,1,1,1,1,1,1,1,0,0,0,0,0
15,native,positive,1,1,1,1,1,1,1,0,0,0,0,0
16,native,positive,1,1,1,1,1,1,1,0,0,0,0,0
