track,edit,method,mode,role,stratum,inputs,eqkeys,source_images,base_correct_inputs,base_correct_images,semantic,semantic_numerator,semantic_denominator,target_consistency,target_consistency_numerator,target_consistency_denominator,token_parity,token_parity_numerator,token_parity_denominator,kl,kl_numerator,kl_denominator,base_correct,base_correct_numerator,base_correct_denominator,base_correct_damage,base_correct_damage_numerator,base_correct_damage_denominator,base_correct_preserved,base_correct_preserved_numerator,base_correct_preserved_denominator,base_wrong_became_correct,base_wrong_became_correct_numerator,base_wrong_became_correct_denominator,base_wrong_changed,base_wrong_changed_numerator,base_wrong_changed_denominator,on,on_numerator,on_denominator,joint_on_correct,joint_on_correct_numerator,joint_on_correct_denominator
NEW_CONFIRMATION,101,A2,BASE,calibration,H_all,2,2,2,1,1,0.5,1.0,2,0.0,0.0,2,1.0,2.0,2,0.0,0.0,2,0.5,1.0,2,0.0,0.0,1,1.0,1.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,2,0.0,0.0,2
NEW_CONFIRMATION,101,A2,BASE,calibration,H_base_wrong,1,1,1,0,0,0.0,0.0,1,0.0,0.0,1,1.0,1.0,1,0.0,0.0,1,0.0,0.0,1,,,0,,,0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
NEW_CONFIRMATION,101,A2,BASE,calibration,H_keep,1,1,1,1,1,1.0,1.0,1,0.0,0.0,1,1.0,1.0,1,0.0,0.0,1,1.0,1.0,1,0.0,0.0,1,1.0,1.0,1,,,0,,,0,0.0,0.0,1,0.0,0.0,1
NEW_CONFIRMATION,101,A2,BASE,calibration,U_all,13,13,13,8,8,0.6153846153846154,8.0,13,0.5384615384615384,7.0,13,1.0,13.0,13,0.0,0.0,13,0.6153846153846154,8.0,13,0.0,0.0,8,1.0,8.0,8,0.0,0.0,5,0.0,0.0,5,0.0,0.0,13,0.0,0.0,13
NEW_CONFIRMATION,101,A2,BASE,calibration,U_base_wrong,5,5,5,0,0,0.0,0.0,5,0.2,1.0,5,1.0,5.0,5,0.0,0.0,5,0.0,0.0,5,,,0,,,0,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
NEW_CONFIRMATION,101,A2,BASE,calibration,U_keep,8,8,8,8,8,1.0,8.0,8,0.75,6.0,8,1.0,8.0,8,0.0,0.0,8,1.0,8.0,8,0.0,0.0,8,1.0,8.0,8,,,0,,,0,0.0,0.0,8,0.0,0.0,8
NEW_CONFIRMATION,101,A2,BASE,calibration,positive,4,4,1,2,1,0.5,2.0,4,0.5,2.0,4,1.0,4.0,4,,,0,0.5,2.0,4,0.0,0.0,2,1.0,2.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,4,0.0,0.0,4
NEW_CONFIRMATION,101,A2,BASE,challenge,same_answer_context_not_conflict,1,1,1,1,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,1,1.0,1.0,1,0.0,0.0,1,1.0,1.0,1,,,0,,,0,0.0,0.0,1,0.0,0.0,1
NEW_CONFIRMATION,101,A2,BASE,evaluation,H_all,2,2,2,2,2,1.0,2.0,2,0.0,0.0,2,1.0,2.0,2,0.0,0.0,2,1.0,2.0,2,0.0,0.0,2,1.0,2.0,2,,,0,,,0,0.0,0.0,2,0.0,0.0,2
NEW_CONFIRMATION,101,A2,BASE,evaluation,H_keep,2,2,2,2,2,1.0,2.0,2,0.0,0.0,2,1.0,2.0,2,0.0,0.0,2,1.0,2.0,2,0.0,0.0,2,1.0,2.0,2,,,0,,,0,0.0,0.0,2,0.0,0.0,2
NEW_CONFIRMATION,101,A2,BASE,evaluation,U_all,12,12,12,7,7,0.5833333333333334,7.0,12,0.4166666666666667,5.0,12,1.0,12.0,12,0.0,0.0,12,0.5833333333333334,7.0,12,0.0,0.0,7,1.0,7.0,7,0.0,0.0,5,0.0,0.0,5,0.0,0.0,12,0.0,0.0,12
NEW_CONFIRMATION,101,A2,BASE,evaluation,U_base_wrong,5,5,5,0,0,0.0,0.0,5,0.0,0.0,5,1.0,5.0,5,0.0,0.0,5,0.0,0.0,5,,,0,,,0,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
