cohort,subset,mode,omitted_H_image,candidate,control,remaining_edits,remaining_pairs,delta,interpretation
NEW7,FULL_COHORT,FORCED_ON,H_SOURCE_01,C_FACT,C_EXTRA_QA,7,7,0.8571428571428571,"source-image sensitivity, not a patient-level CI"
NEW7,FULL_COHORT,FORCED_ON,H_SOURCE_01,C_FACT,C_NO_H,7,7,0.8571428571428571,"source-image sensitivity, not a patient-level CI"
NEW7,FULL_COHORT,BE_ROUTE_R0,H_SOURCE_01,C_FACT,C_EXTRA_QA,7,7,0.7142857142857143,"source-image sensitivity, not a patient-level CI"
NEW7,FULL_COHORT,BE_ROUTE_R0,H_SOURCE_01,C_FACT,C_NO_H,7,7,0.7142857142857143,"source-image sensitivity, not a patient-level CI"
NEW7,FULL_COHORT,RC_FIXED_OLD16,H_SOURCE_01,C_FACT,C_EXTRA_QA,7,7,0,"source-image sensitivity, not a patient-level CI"
NEW7,FULL_COHORT,RC_FIXED_OLD16,H_SOURCE_01,C_FACT,C_NO_H,7,7,0,"source-image sensitivity, not a patient-level CI"
NEW7,COMMON_SUPPORTED,FORCED_ON,H_SOURCE_01,C_FACT,C_EXTRA_QA,7,7,0.8571428571428571,"source-image sensitivity, not a patient-level CI"
NEW7,COMMON_SUPPORTED,FORCED_ON,H_SOURCE_01,C_FACT,C_NO_H,7,7,0.8571428571428571,"source-image sensitivity, not a patient-level CI"
NEW7,COMMON_SUPPORTED,BE_ROUTE_R0,H_SOURCE_01,C_FACT,C_EXTRA_QA,7,7,0.7142857142857143,"source-image sensitivity, not a patient-level CI"
NEW7,COMMON_SUPPORTED,BE_ROUTE_R0,H_SOURCE_01,C_FACT,C_NO_H,7,7,0.7142857142857143,"source-image sensitivity, not a patient-level CI"
NEW7,COMMON_SUPPORTED,RC_FIXED_OLD16,H_SOURCE_01,C_FACT,C_EXTRA_QA,7,7,0,"source-image sensitivity, not a patient-level CI"
NEW7,COMMON_SUPPORTED,RC_FIXED_OLD16,H_SOURCE_01,C_FACT,C_NO_H,7,7,0,"source-image sensitivity, not a patient-level CI"
NEW7,SAME_H_IMAGE,FORCED_ON,H_SOURCE_01,C_FACT,C_EXTRA_QA,7,7,0.8571428571428571,"source-image sensitivity, not a patient-level CI"
NEW7,SAME_H_IMAGE,FORCED_ON,H_SOURCE_01,C_FACT,C_NO_H,7,7,0.8571428571428571,"source-image sensitivity, not a patient-level CI"
NEW7,SAME_H_IMAGE,BE_ROUTE_R0,H_SOURCE_01,C_FACT,C_EXTRA_QA,7,7,0.7142857142857143,"source-image sensitivity, not a patient-level CI"
NEW7,SAME_H_IMAGE,BE_ROUTE_R0,H_SOURCE_01,C_FACT,C_NO_H,7,7,0.7142857142857143,"source-image sensitivity, not a patient-level CI"
NEW7,SAME_H_IMAGE,RC_FIXED_OLD16,H_SOURCE_01,C_FACT,C_EXTRA_QA,7,7,0,"source-image sensitivity, not a patient-level CI"
NEW7,SAME_H_IMAGE,RC_FIXED_OLD16,H_SOURCE_01,C_FACT,C_NO_H,7,7,0,"source-image sensitivity, not a patient-level CI"
NEW7,DIFFERENT_TRAIN_IMAGE,FORCED_ON,H_SOURCE_01,C_FACT,C_EXTRA_QA,0,0,,"source-image sensitivity, not a patient-level CI"
NEW7,DIFFERENT_TRAIN_IMAGE,FORCED_ON,H_SOURCE_01,C_FACT,C_NO_H,0,0,,"source-image sensitivity, not a patient-level CI"
NEW7,DIFFERENT_TRAIN_IMAGE,BE_ROUTE_R0,H_SOURCE_01,C_FACT,C_EXTRA_QA,0,0,,"source-image sensitivity, not a patient-level CI"
NEW7,DIFFERENT_TRAIN_IMAGE,BE_ROUTE_R0,H_SOURCE_01,C_FACT,C_NO_H,0,0,,"source-image sensitivity, not a patient-level CI"
NEW7,DIFFERENT_TRAIN_IMAGE,RC_FIXED_OLD16,H_SOURCE_01,C_FACT,C_EXTRA_QA,0,0,,"source-image sensitivity, not a patient-level CI"
NEW7,DIFFERENT_TRAIN_IMAGE,RC_FIXED_OLD16,H_SOURCE_01,C_FACT,C_NO_H,0,0,,"source-image sensitivity, not a patient-level CI"
NEW7,FULL_COHORT,FORCED_ON,H_SOURCE_02,C_FACT,C_EXTRA_QA,7,7,0.8571428571428571,"source-image sensitivity, not a patient-level CI"
NEW7,FULL_COHORT,FORCED_ON,H_SOURCE_02,C_FACT,C_NO_H,7,7,0.8571428571428571,"source-image sensitivity, not a patient-level CI"
